카테고리,기관명,주소,위도,경도,정류소타입
버스정류장,박노수미술관,,37.58099674,126.9666035,마을버스
버스정류장,샘미용실.종로구청소년상담복지센터,,37.59030953,126.9932227,마을버스
버스정류장,서울국제고등학교,,37.58907159,126.9972903,마을버스
버스정류장,화정박물관,,37.60498061,126.9652008,마을버스
버스정류장,적십자병원후문앞,,37.56752954,126.9652273,마을버스
버스정류장,서울성곽.성대후문,,37.58936638,126.9895694,마을버스
버스정류장,빨래터.고희동미술관,,37.58298722,126.9890634,마을버스
버스정류장,세검초등학교,,37.60425228,126.9614908,마을버스
버스정류장,삼청동주민센터,,37.58426383,126.9819072,마을버스
버스정류장,통인시장,,37.58044175,126.9684957,마을버스
버스정류장,양현관,,37.58979142,126.9936044,마을버스
버스정류장,국민생활관,,37.58974563,126.998862,마을버스
버스정류장,오거리,,37.60706212,126.9622629,마을버스
버스정류장,경희궁자이2.3단지,,37.56878711,126.9640686,마을버스
버스정류장,창신쌍용2단지.한성대후문,,37.5812648,127.0127581,마을버스
버스정류장,통일부,,37.58759481,126.9859477,마을버스
버스정류장,원서고개,,37.58308055,126.9878088,마을버스
버스정류장,종로5가입구.혜화경찰서,,37.57179285,126.9976709,마을버스
버스정류장,삼청파출소,,37.58181366,126.981251,마을버스
버스정류장,오거리.한옥마을입구,,37.57940462,126.9696089,마을버스
버스정류장,명륜시장.성대후문,,37.58851105,126.9952543,마을버스
버스정류장,혜화초등학교,,37.58725323,126.9998517,마을버스
버스정류장,청련사입구,,37.60798038,126.9624312,마을버스
버스정류장,영천시장,,37.57008186,126.9627389,마을버스
버스정류장,명신초.삼선푸르지오.힐스테이트,,37.58210621,127.0145563,마을버스
버스정류장,감사원,,37.58621065,126.9852901,마을버스
버스정류장,중앙중고,,37.58309218,126.9869653,마을버스
버스정류장,인왕빌딩,,37.60792833,126.9577443,마을버스
버스정류장,종로4가.종묘공원,,37.57068903,126.9946203,마을버스
버스정류장,국립민속박물관,,37.57925518,126.9795534,마을버스
버스정류장,광화문새마을금고,,37.57936877,126.9711466,마을버스
버스정류장,새마을금고,,37.58773706,126.9965181,마을버스
버스정류장,혜화우체국,,37.58603766,127.0006137,마을버스
버스정류장,언덕앞,,37.60895398,126.9637922,마을버스
버스정류장,경희궁자이4단지,,37.57070222,126.9621148,마을버스
버스정류장,종로센트레빌후문.e편한세상보문아파트,,37.58177439,127.0161855,마을버스
버스정류장,사우디대사관앞.경남빌라,,37.58410567,126.9850312,마을버스
버스정류장,안국선원.삼거리,,37.58279098,126.9849941,마을버스
버스정류장,구기터널입구,,37.60820461,126.9567769,마을버스
버스정류장,종로3가.1.3.5호선,,37.57108758,126.9920932,마을버스
버스정류장,경복궁,,37.57695016,126.9793378,마을버스
버스정류장,소나무집,,37.61127707,126.9641105,마을버스
버스정류장,독립문역3번출구,,37.57287848,126.9597453,마을버스
버스정류장,청룡사.보문파크뷰자이아파트,,37.58001895,127.0170071,마을버스
버스정류장,북촌한옥마을입구.정세권활동터,,37.58159973,126.9849422,마을버스
버스정류장,종로1.2.3.4가동주민센터,,37.57438371,126.9911314,마을버스
버스정류장,창덕궁,,37.57608925,126.99062,마을버스
버스정류장,아름다운실버,,37.61201006,126.9654637,마을버스
버스정류장,독립문초등학교,,37.57386997,126.9606775,마을버스
버스정류장,종로센트레빌아파트,,37.58035344,127.0156927,마을버스
버스정류장,가회동주민센터,,37.57997294,126.9849543,마을버스
버스정류장,구기빌라,,37.60626861,126.9579797,마을버스
버스정류장,원남로터리,,37.57623737,126.9975115,마을버스
버스정류장,보현산신각,,37.61348252,126.9657791,마을버스
버스정류장,린덴바움숲유치원,,37.57466928,126.961804,마을버스
버스정류장,쌍용아파트입구.창신역,,37.58051123,127.0149636,마을버스
버스정류장,아름다운가게.정독도서관,,37.57894808,126.9851272,마을버스
버스정류장,산정빌라,,37.60515199,126.9574922,마을버스
버스정류장,이화사거리,,37.57650956,127.0020915,마을버스
버스정류장,박종화고택입구,,37.61431026,126.9676873,마을버스
버스정류장,무악현대아파트후문,,37.57633723,126.9619412,마을버스
버스정류장,헌법재판소.안국역,,37.5773872,126.9858152,마을버스
버스정류장,청구빌라,,37.60461026,126.956984,마을버스
버스정류장,서울대어린이병원응급실.갑상선센터,,37.57811888,126.999503,마을버스
버스정류장,화인빌라,,37.61293453,126.9685386,마을버스
버스정류장,넓은마당,,37.57527281,126.962888,마을버스
버스정류장,창신초등학교,,37.5769032,127.0153886,마을버스
버스정류장,수운회관,,37.57521894,126.9866693,마을버스
버스정류장,상명대후문,,37.60402558,126.9573354,마을버스
버스정류장,힐탑,,37.61160556,126.9690206,마을버스
버스정류장,신학대학교총회본부,,37.57397631,126.9634446,마을버스
버스정류장,낙원상가,,37.57375637,126.9874149,마을버스
버스정류장,완성빌라,,37.60340209,126.9575011,마을버스
버스정류장,서울대병원장례식장,,37.5805554,126.997431,마을버스
버스정류장,혜화역1번출구,,37.58347299,127.0017633,마을버스
버스정류장,감나무골공원,,37.61240596,126.9699479,마을버스
