매물종류,매물타입,위도,경도
원룸,전세,37.500347,126.927034
원룸,전세,37.498074,126.932305
원룸,전세,37.497832,126.930617
원룸,전세,37.498074,126.932305
원룸,전세,37.498074,126.932305
원룸,전세,37.501951,126.92702
원룸,전세,37.485988,126.972484
원룸,전세,37.486536,126.978778
원룸,전세,37.496241,126.928363
원룸,전세,37.511791,126.945605
원룸,전세,37.479963,126.970778
원룸,전세,37.497243,126.927004
원룸,전세,37.502781,126.93634
원룸,전세,37.501324,126.927407
원룸,전세,37.482449,126.976403
원룸,전세,37.479399,126.978783
원룸,전세,37.49629,126.929131
원룸,전세,37.500912,126.924233
원룸,전세,37.4803,126.972175
원룸,전세,37.504854,126.935641
원룸,전세,37.496547,126.931198
원룸,전세,37.502781,126.93634
원룸,전세,37.498996,126.923354
원룸,전세,37.497109,126.923207
원룸,전세,37.480898,126.972297
원룸,전세,37.490529,126.964331
원룸,전세,37.480451,126.976847
원룸,전세,37.479874,126.980176
원룸,전세,37.480667,126.972584
원룸,전세,37.503787,126.944975
원룸,전세,37.485406,126.905086
원룸,전세,37.501294,126.950214
원룸,전세,37.481937,126.976703
원룸,전세,37.480854,126.976216
원룸,전세,37.50127,126.924408
원룸,전세,37.501294,126.950214
원룸,전세,37.496524,126.929173
원룸,전세,37.494799,126.957955
원룸,전세,37.482563,126.975406
원룸,전세,37.500713,126.934579
원룸,전세,37.476905,126.974327
원룸,전세,37.485651,126.979407
원룸,전세,37.481297,126.971469
원룸,전세,37.476938,126.970844
원룸,전세,37.479449,126.974332
원룸,전세,37.509155,126.945768
원룸,전세,37.496547,126.931198
원룸,전세,37.483894,126.968434
원룸,전세,37.497323,126.923184
원룸,전세,37.500246,126.941872
원룸,전세,37.504497,126.945256
원룸,전세,37.480854,126.976216
원룸,전세,37.479742,126.977233
원룸,전세,37.494268,126.958289
원룸,전세,37.480854,126.976216
원룸,전세,37.481258,126.972591
원룸,전세,37.498696,126.952805
원룸,전세,37.505424,126.933851
원룸,전세,37.478862,126.976515
원룸,전세,37.482343,126.976391
원룸,전세,37.496864,126.928799
원룸,전세,37.487579,126.976046
원룸,전세,37.499648,126.942774
원룸,전세,37.496864,126.928799
원룸,전세,37.477789,126.977475
원룸,전세,37.502056,126.950581
원룸,전세,37.504287,126.924495
원룸,전세,37.502304,126.925302
원룸,전세,37.488195,126.909079
원룸,전세,37.506005,126.92328
원룸,전세,37.486839,126.976939
원룸,전세,37.496547,126.931198
원룸,전세,37.477691,126.972894
원룸,전세,37.492932,126.978515
원룸,전세,37.479313,126.976315
원룸,전세,37.496144,126.952338
원룸,전세,37.493377,126.955595
원룸,전세,37.495546,126.930983
원룸,전세,37.496414,126.925205
원룸,전세,37.490315,126.911533
원룸,전세,37.476893,126.975131
원룸,전세,37.481018,126.977692
원룸,전세,37.486219,126.978072
원룸,전세,37.486219,126.978072
원룸,전세,37.482152,126.97454
원룸,전세,37.486219,126.978072
원룸,전세,37.503586,126.946128
원룸,전세,37.50985,126.931853
원룸,전세,37.483284,126.976811
원룸,전세,37.480651,126.977796
원룸,전세,37.481018,126.977692
원룸,전세,37.500912,126.924233
원룸,전세,37.479449,126.974332
원룸,전세,37.481018,126.977692
원룸,전세,37.495174,126.92647
원룸,전세,37.496034,126.952234
원룸,전세,37.480531,126.978836
원룸,전세,37.479449,126.974332
원룸,전세,37.496414,126.925205
원룸,전세,37.482343,126.976391
원룸,전세,37.497323,126.923184
원룸,전세,37.48007,126.973671
원룸,전세,37.495289,126.951935
원룸,전세,37.481378,126.971562
원룸,전세,37.485388,126.979758
원룸,전세,37.485388,126.979758
원룸,전세,37.486219,126.978072
원룸,전세,37.482152,126.97454
원룸,전세,37.481297,126.971469
원룸,전세,37.482152,126.97454
원룸,전세,37.485388,126.979758
원룸,전세,37.502781,126.93634
원룸,전세,37.485388,126.979758
원룸,전세,37.481035,126.972796
원룸,전세,37.482236,126.973745
