위도,경도,클러스터내마커수,줌레벨
37.542942,126.971511,1,4
37.5441,126.972745,1,4
37.54461,126.969785,1,4
37.534058,126.96508,1,4
37.524826,126.963135,9,4
37.5309315,126.9709048,4,4
37.530133,126.972272,1,4
37.52443,126.9647115,2,4
37.533837,126.974627,1,4
37.545569,126.974271,1,4
37.542967,126.973659,2,4
37.539988,127.003132,1,4
37.53355,126.996349,1,4
37.54367,127.002479,1,4
37.533863,127.003464,4,4
37.532336,126.994234,1,4
37.533115,127.005489,2,4
37.54071,126.991335,1,4
37.534257,126.99834,2,4
37.5601295,126.997152,2,4
37.548135,127.006668,1,4
37.552554,127.010222,2,4
37.551125,127.005558,1,4
37.558934,127.010673,1,4
37.549298,127.006609,1,4
37.558903,126.963446,4,4
37.55954933,126.9841187,3,4
37.561652,126.977637,2,4
37.556276,126.979409,1,4
37.558764,126.96892,1,4
37.560182,126.972058,1,4
37.557242,126.982846,1,4
37.5565155,126.9808355,2,4
37.559596,126.96726,1,4
37.4881670019178,126.90887966832148,3,4
37.48864100069195,126.91073749829911,2,4
37.48713275047907,126.9090284994648,4,4
37.48540599999998,126.905086,1,4
37.49031500000001,126.911533,1,4
37.486259,126.906844,1,4
37.48102628641829,126.94510285730853,14,4
37.47844541808433,126.94868216816772,12,4
37.48066484226446,126.94698857890104,19,4
37.48724588015943,126.92397388060355,25,4
37.48339900075506,126.95208242912688,14,4
37.48437237623333,126.9472254383866,32,4
37.48030731918261,126.94092581793456,44,4
37.481280231803794,126.94171838493308,13,4
37.488680216190446,126.92515228456196,14,4
37.488608,126.953152,1,4
37.48720190112582,126.92582090086748,10,4
37.48592784685481,126.9427771540158,13,4
37.48516264338196,126.94072457139993,14,4
37.48733881507626,126.94142043120732,81,4
37.48180340091053,126.93901010146296,10,4
37.4798376006808,126.92698099901648,5,4
37.48331999999999,126.927781,1,4
37.48421783458844,126.94484316474986,6,4
37.48329891086898,126.93317863450858,11,4
37.48289466786708,126.91428060998486,18,4
37.48717161609385,126.92146715393189,13,4
37.48827605559003,126.93324733326271,18,4
37.487980334282135,126.91940553254638,15,4
37.48204042947859,126.92517643104264,7,4
37.48142926173947,126.93361143353935,23,4
37.47179499999999,126.920938,1,4
37.47267050045148,126.91832450101798,2,4
37.4904490000522,126.92664759991202,5,4
37.4792456679303,126.93272191771229,12,4
37.47012899999999,126.933677,2,4
37.48688110098346,126.93702710237145,10,4
37.48033042860566,126.90042028606868,7,4
37.48892175012801,126.93022600043868,4,4
37.48581756533915,126.94823147824606,23,4
37.4705490000348,126.9182966670342,3,4
37.48046372824155,126.948538090705,11,4
37.48214666711084,126.91741800190438,3,4
37.48921709763071,126.923301484362,31,4
37.48364100018024,126.94947313343084,15,4
37.48963460165469,126.93217309925114,20,4
37.475384,126.93577,3,4
37.489492,126.937297,1,4
37.48768708346929,126.93473999994696,12,4
37.48537906339873,126.95157481148809,16,4
37.485669370271374,126.9315267895899,19,4
37.487421400186335,126.9391061601954,25,4
37.48705989084736,126.93136316794994,18,4
37.48486215067164,126.95287149980308,20,4
37.490658,126.930706,1,4
37.48526135367999,126.92564764811416,17,4
37.4757915006695,126.95498624957644,8,4
37.48977300000004,126.942564,1,4
37.46782999999999,126.938576,2,4
37.48547285771632,126.9335292864434,14,4
37.47919250009872,126.93468599950708,4,4
37.47802577379193,126.947052772248,22,4
37.48606400098838,126.91504399941454,9,4
37.4677127502988,126.93680375024113,4,4
37.48507660112709,126.91167246499934,15,4
37.47744280003644,126.91990119962274,5,4
37.47889800017354,126.94068433388772,3,4
37.48497912581158,126.95434249873664,8,4
37.4799907151908,126.94268000026229,7,4
37.48681433374315,126.95258766843764,3,4
37.48704840131557,126.9538622000824,10,4
37.48076150000912,126.9509240000182,2,4
37.47981955557575,126.92393133350112,9,4
37.48002845513479,126.93939318081176,11,4
37.48090350010214,126.92368050012333,4,4
37.48461628662015,126.92004628634643,14,4
37.48666733386359,126.91980283409744,6,4
37.48177209213757,126.9076670889498,11,4
37.48274420097977,126.90569979835938,5,4
37.48811807821338,126.9175164607432,13,4
37.47917075039143,126.95514200063596,4,4
37.48669637590967,126.92775908252408,24,4
37.48369440072357,126.91605740276312,5,4
37.474293,126.953247,4,4
37.461814,126.915512,4,4
37.47615583468012,126.93821633441296,6,4
37.47734450098708,126.93020699978284,2,4
37.48281333351522,126.9381483334649,9,4
37.483308,126.923999,2,4
37.48287320008805,126.9125807995548,5,4
37.4847,126.92336,1,4
37.47975780043871,126.92549840023229,5,4
